"","Place","UF_cases_low","UF_cases_mean","UF_cases_high","UF_deaths_low","UF_deaths_mean","UF_deaths_high","ifr1_low","ifr1_mean","ifr1_high","ifr2_low","ifr2_mean","ifr2_high","cfr_low","cfr_mean","cfr_high"
"ML","Meghalaya","35.7102426636569","41.6287096386427","48.6886727137587","7.53001432664756","8.77058309455587","10.1676575931232","0.00039464800205471","0.000465753473978846","0.000538077761934464","0.00391364156263336","0.00405157282818682","0.00419514174423371",0.0178031525559745,0.0192148874084678,0.020626622260961
"MZ","Mizoram","12.235510235732","19.031457382134","25.8317648883375","3.41666666666667","5.07846825396825","6.80952380952381","0.000201725206851375","0.000284744859115875","0.000425884862467981","0.00124251102920642","0.0013976334270403","0.00158944890198867",0.00409945211439291,0.00521091811414392,0.00632238411389494
"NL","Nagaland","15.9741878691504","29.0716718158413","42.161029077692","4.15121951219512","6.78445040650406","9.45859756097561","0.000736378946731933","0.00115653717514264","0.00194354131133405","0.00679679786935023","0.00733552555494719","0.00824191924599767",0.028077641061499,0.0310347437741276,0.0339918464867562
"OR","Odisha","31.3953673909883","34.9345431050399","37.6007981154022","6.43763328697265","7.06803847936949","7.57997218358832","9.92941475048989e-05","0.00010721409773162","0.000118920067039156","0.000740339531387405","0.00075571426240933","0.000773403603205189",0.0035757825233727,0.00373302873757171,0.00389027495177072
"PB","Punjab","22.035201063374","24.6705067557704","26.6026995660809","5.05030126243305","5.53153318668707","5.89404648048967","0.000930435215995294","0.00100639687630624","0.00112329760212512","0.0054536861277937","0.00555311683821412","0.00568985623253781",0.0242747474073807,0.0247430925434725,0.0252114376795644
"RJ","Rajasthan","21.5414853286293","26.2037746457503","30.4066284591517","4.94428699041741","5.79213588869038","6.55369904174111","0.000318925113954828","0.000374009379786408","0.000450174966391683","0.00208368719173326","0.00214775695733637","0.0022344383547063",0.00945495470083978,0.00969597137664841,0.00993698805245704
"SK","Sikkim","8.89383533447684","14.9602572670097","21.524461406518","2.78857142857143","4.01781333333333","5.40571428571429","0.000557823995764514","0.000852339731286968","0.00135002065194207","0.00285866429459087","0.00328056703652316","0.0039523003229367",0.0102379085897069,0.0120060373216246,0.0137741660535423
"TN","Tamil Nadu","23.0009471475414","24.8603097689326","26.4494581346656","5.05814790254445","5.38617536103743","5.6682385303075","0.000467804068607434","0.000498549130550501","0.000537941505142602","0.00264493578732746","0.00268160082204972","0.00272549003712734",0.0122047518195056,0.0123736433194782,0.0125425348194508
"TG","Telangana","20.4300232419222","25.5879431924769","28.6036271346788","4.7711919729207","5.69403755641522","6.26890715667311","0.000219224611876688","0.000247667569661648","0.000306931567835011","0.00135070879343574","0.00139835670914735","0.00147395949551274",0.00600498798252118,0.0062744384832227,0.00654388898392421
"TR","Tripura","11.5075428215035","36.936777835245","60.1319754175667","3.03780068728522","7.68425085910653","11.8835051546392","0.000147231600187851","0.000307136342411466","0.000769349893911834","0.0017195160242979","0.00190949907170248","0.00239880358730827",0.00784037831155924,0.00885305749923943,0.00986573668691962
"UP","Uttar Pradesh","20.7480590432834","22.9263498561802","25.5180801233878","4.61015316737212","5.01919594901595","5.49786570055241","0.000493985390820424","0.000551827749573653","0.000607553639374081","0.00271269095215262","0.00276122578984917","0.00281391445556822",0.0123992843986825,0.0126072265277096,0.0128151686567367
"UT","Uttarakhand","17.8356526849004","20.005642976971","21.7860701722775","4.43509954193094","4.84064053323937","5.18340380549683","0.00106688990956273","0.00116541412356714","0.00130319528204047","0.00548492545001001","0.00562815422392679","0.00580103597192362",0.0226571576379745,0.0232548618219038,0.023852566005833
"WB","West Bengal","23.2365739920331","26.5782397855456","29.3531246677342","5.22007345156167","5.81042584259749","6.30955862890418","0.000276463637995072","0.000306731858036893","0.000349237018149513","0.00173661723302571","0.00177561512993884","0.00182543494022602",0.00793768215821147,0.0081199545574614,0.00830222695671134
"India","India","11.4493836438939","13.2738417614346","14.5917000589126","3.13366524423978","3.46024613137855","3.69354253449623","0.000855595043105737","0.000945109752386219","0.00109041557532138","0.00315764523224412","0.00325954299980382","0.00341804259669779",0.012434888460747,0.0124839209577406,0.0125329534547342
